Feature Model,Model,Parameters,Accuracy,Precision,Recall,F1-Score,Time Taken (s),Class Names
ResNet50,SVC,kernel: rbf,0.7363112391930836,0.7974137931034483,0.5763239875389408,0.6690777576853526,251.37314009666443,"Healthy, Reject"
ResNet50,SVC,kernel: linear,0.8328530259365994,0.8115501519756839,0.8317757009345794,0.8215384615384617,65.30379176139832,"Healthy, Reject"
ResNet50,Decision Tree,max_depth: None,0.7002881844380403,0.6696696696696697,0.6947040498442367,0.6819571865443426,14.48698377609253,"Healthy, Reject"
ResNet50,Decision Tree,max_depth: 5,0.69164265129683,0.6801346801346801,0.6292834890965732,0.6537216828478963,10.785674810409546,"Healthy, Reject"
ResNet50,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.7752161383285303,0.8066914498141264,0.67601246105919,0.735593220338983,20.77697777748108,"Healthy, Reject"
ResNet50,KNN,n_neighbors: 5,0.7377521613832853,0.7324414715719063,0.6822429906542056,0.7064516129032258,5.677340984344482,"Healthy, Reject"
InceptionV3,SVC,kernel: rbf,0.9351585014409222,0.9451612903225807,0.9127725856697819,0.9286846275752773,91.84337782859802,"Healthy, Reject"
InceptionV3,SVC,kernel: linear,0.9351585014409222,0.93125,0.9283489096573209,0.9297971918876755,35.5825560092926,"Healthy, Reject"
InceptionV3,Decision Tree,max_depth: None,0.8270893371757925,0.793002915451895,0.8473520249221184,0.8192771084337349,75.80519986152649,"Healthy, Reject"
InceptionV3,Decision Tree,max_depth: 5,0.8270893371757925,0.8092307692307692,0.8193146417445483,0.8142414860681115,23.185765027999878,"Healthy, Reject"
InceptionV3,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.899135446685879,0.9035369774919614,0.8753894080996885,0.8892405063291138,27.39482593536377,"Healthy, Reject"
InceptionV3,KNN,n_neighbors: 5,0.9077809798270894,0.9326599326599326,0.8629283489096573,0.8964401294498383,2.0888285636901855,"Healthy, Reject"
MobileNetV2,SVC,kernel: rbf,0.9394812680115274,0.9485530546623794,0.9190031152647975,0.9335443037974684,135.2548885345459,"Healthy, Reject"
MobileNetV2,SVC,kernel: linear,0.9510086455331412,0.9415384615384615,0.9532710280373832,0.9473684210526315,42.803037881851196,"Healthy, Reject"
MobileNetV2,Decision Tree,max_depth: None,0.8126801152737753,0.7938461538461539,0.8037383177570093,0.7987616099071209,33.845895767211914,"Healthy, Reject"
MobileNetV2,Decision Tree,max_depth: 5,0.8155619596541787,0.7915407854984894,0.8161993769470405,0.8036809815950919,13.936702489852905,"Healthy, Reject"
MobileNetV2,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.9135446685878963,0.9223300970873787,0.8878504672897196,0.9047619047619048,11.981606245040894,"Healthy, Reject"
MobileNetV2,KNN,n_neighbors: 5,0.8760806916426513,0.8683385579937304,0.8629283489096573,0.865625,3.549947500228882,"Healthy, Reject"
DenseNet121,SVC,kernel: rbf,0.9582132564841499,0.964968152866242,0.9439252336448598,0.9543307086614173,86.21111845970154,"Healthy, Reject"
DenseNet121,SVC,kernel: linear,0.9639769452449568,0.9625,0.9595015576323987,0.9609984399375975,32.00610423088074,"Healthy, Reject"
DenseNet121,Decision Tree,max_depth: None,0.8155619596541787,0.7915407854984894,0.8161993769470405,0.8036809815950919,57.52783465385437,"Healthy, Reject"
DenseNet121,Decision Tree,max_depth: 5,0.8285302593659942,0.8389261744966443,0.778816199376947,0.8077544426494344,21.69224452972412,"Healthy, Reject"
DenseNet121,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.9221902017291066,0.9211356466876972,0.9096573208722741,0.915360501567398,25.6380352973938,"Healthy, Reject"
DenseNet121,KNN,n_neighbors: 5,0.9236311239193083,0.9407894736842105,0.8909657320872274,0.9152,1.8795530796051025,"Healthy, Reject"
EfficientNetB0,SVC,kernel: rbf,0.8386167146974063,0.88,0.7538940809968847,0.8120805369127517,144.74100542068481,"Healthy, Reject"
EfficientNetB0,SVC,kernel: linear,0.8876080691642652,0.8738461538461538,0.8847352024922118,0.8792569659442724,73.14274597167969,"Healthy, Reject"
EfficientNetB0,Decision Tree,max_depth: None,0.7622478386167147,0.7422360248447205,0.7445482866043613,0.7433903576982893,109.27243041992188,"Healthy, Reject"
EfficientNetB0,Decision Tree,max_depth: 5,0.7881844380403458,0.7558823529411764,0.8006230529595015,0.7776096822995462,47.97090172767639,"Healthy, Reject"
EfficientNetB0,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.8515850144092219,0.8838028169014085,0.7819314641744548,0.8297520661157025,37.111870527267456,"Healthy, Reject"
EfficientNetB0,KNN,n_neighbors: 5,0.8112391930835735,0.7896341463414634,0.8068535825545171,0.798151001540832,3.549618721008301,"Healthy, Reject"
