Feature Model,Model,Parameters,Accuracy,Precision,Recall,F1-Score,Time Taken (s),Class Names
ResNet50,SVC,kernel: rbf,0.6757925072046109,0.6666666666666666,0.5632183908045977,0.6105919003115264,278.5586655139923,"Ripe, Unripe, Old, Damaged"
ResNet50,SVC,kernel: linear,0.7824207492795389,0.7764705882352941,0.7586206896551724,0.7674418604651162,66.07289123535156,"Ripe, Unripe, Old, Damaged"
ResNet50,Decision Tree,max_depth: None,0.5965417867435159,0.5459770114942529,0.5459770114942529,0.5459770114942529,13.849861145019531,"Ripe, Unripe, Old, Damaged"
ResNet50,Decision Tree,max_depth: 5,0.547550432276657,0.525,0.3620689655172414,0.42857142857142855,10.478156566619873,"Ripe, Unripe, Old, Damaged"
ResNet50,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.7319884726224783,0.6853932584269663,0.7011494252873564,0.6931818181818182,22.106704711914062,"Ripe, Unripe, Old, Damaged"
ResNet50,KNN,n_neighbors: 5,0.6368876080691642,0.5622119815668203,0.7011494252873564,0.6240409207161125,5.552570343017578,"Ripe, Unripe, Old, Damaged"
InceptionV3,SVC,kernel: rbf,0.9121037463976945,0.8579234972677595,0.9022988505747126,0.8795518207282913,104.9967188835144,"Ripe, Unripe, Old, Damaged"
InceptionV3,SVC,kernel: linear,0.930835734870317,0.8895027624309392,0.9252873563218391,0.9070422535211268,35.31999492645264,"Ripe, Unripe, Old, Damaged"
InceptionV3,Decision Tree,max_depth: None,0.7492795389048992,0.7158469945355191,0.7528735632183908,0.7338935574229692,47.31963038444519,"Ripe, Unripe, Old, Damaged"
InceptionV3,Decision Tree,max_depth: 5,0.7507204610951008,0.8053691275167785,0.6896551724137931,0.7430340557275542,22.2588050365448,"Ripe, Unripe, Old, Damaged"
InceptionV3,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.8789625360230547,0.8095238095238095,0.8793103448275862,0.8429752066115702,26.05879831314087,"Ripe, Unripe, Old, Damaged"
InceptionV3,KNN,n_neighbors: 5,0.8731988472622478,0.8157894736842105,0.8908045977011494,0.8516483516483517,2.063871145248413,"Ripe, Unripe, Old, Damaged"
MobileNetV2,SVC,kernel: rbf,0.9020172910662824,0.8922155688622755,0.8563218390804598,0.873900293255132,163.60893487930298,"Ripe, Unripe, Old, Damaged"
MobileNetV2,SVC,kernel: linear,0.9365994236311239,0.8920454545454546,0.9022988505747126,0.8971428571428571,48.90252876281738,"Ripe, Unripe, Old, Damaged"
MobileNetV2,Decision Tree,max_depth: None,0.7593659942363112,0.7037037037037037,0.764367816091954,0.7327823691460055,31.06416416168213,"Ripe, Unripe, Old, Damaged"
MobileNetV2,Decision Tree,max_depth: 5,0.739193083573487,0.6521739130434783,0.8620689655172413,0.7425742574257426,13.83754014968872,"Ripe, Unripe, Old, Damaged"
MobileNetV2,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.8919308357348703,0.8421052631578947,0.8275862068965517,0.8347826086956522,11.574611902236938,"Ripe, Unripe, Old, Damaged"
MobileNetV2,KNN,n_neighbors: 5,0.8011527377521613,0.7156862745098039,0.8390804597701149,0.7724867724867724,3.4834420680999756,"Ripe, Unripe, Old, Damaged"
DenseNet121,SVC,kernel: rbf,0.9351585014409222,0.8763440860215054,0.9367816091954023,0.9055555555555556,102.55847668647766,"Ripe, Unripe, Old, Damaged"
DenseNet121,SVC,kernel: linear,0.9610951008645533,0.907608695652174,0.9597701149425287,0.9329608938547486,33.47726368904114,"Ripe, Unripe, Old, Damaged"
DenseNet121,Decision Tree,max_depth: None,0.8040345821325648,0.7010309278350515,0.7816091954022989,0.7391304347826086,55.665547132492065,"Ripe, Unripe, Old, Damaged"
DenseNet121,Decision Tree,max_depth: 5,0.7795389048991355,0.65,0.8218390804597702,0.7258883248730966,22.1433584690094,"Ripe, Unripe, Old, Damaged"
DenseNet121,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.9063400576368876,0.8397790055248618,0.8735632183908046,0.856338028169014,25.05977773666382,"Ripe, Unripe, Old, Damaged"
DenseNet121,KNN,n_neighbors: 5,0.8659942363112392,0.8152173913043478,0.8620689655172413,0.8379888268156424,1.8284516334533691,"Ripe, Unripe, Old, Damaged"
EfficientNetB0,SVC,kernel: rbf,0.7968299711815562,0.7164948453608248,0.7988505747126436,0.7554347826086957,152.45240330696106,"Ripe, Unripe, Old, Damaged"
EfficientNetB0,SVC,kernel: linear,0.8559077809798271,0.8411764705882353,0.8218390804597702,0.8313953488372092,39.991557359695435,"Ripe, Unripe, Old, Damaged"
EfficientNetB0,Decision Tree,max_depth: None,0.6887608069164265,0.6608187134502924,0.6494252873563219,0.655072463768116,106.11778545379639,"Ripe, Unripe, Old, Damaged"
EfficientNetB0,Decision Tree,max_depth: 5,0.707492795389049,0.6436170212765957,0.6954022988505747,0.6685082872928176,49.42170286178589,"Ripe, Unripe, Old, Damaged"
EfficientNetB0,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.8141210374639769,0.7373737373737373,0.8390804597701149,0.7849462365591398,38.86895799636841,"Ripe, Unripe, Old, Damaged"
EfficientNetB0,KNN,n_neighbors: 5,0.7319884726224783,0.6591928251121076,0.8448275862068966,0.7405541561712846,3.4598898887634277,"Ripe, Unripe, Old, Damaged"
