Feature Model,Model,Parameters,Accuracy,Precision,Recall,F1-Score,Time Taken (s),Class Names
ResNet50,SVC,kernel: rbf,0.7017291066282421,0.6342412451361867,0.7874396135265701,0.7025862068965517,262.74647283554077,"Ripe, Unripe, Reject"
ResNet50,SVC,kernel: linear,0.8141210374639769,0.8019323671497585,0.8019323671497585,0.8019323671497585,60.65965723991394,"Ripe, Unripe, Reject"
ResNet50,Decision Tree,max_depth: None,0.6123919308357348,0.6118721461187214,0.6473429951690821,0.6291079812206573,13.291295528411865,"Ripe, Unripe, Reject"
ResNet50,Decision Tree,max_depth: 5,0.6498559077809798,0.6228070175438597,0.6859903381642513,0.6528735632183909,10.47791314125061,"Ripe, Unripe, Reject"
ResNet50,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.739193083573487,0.7352941176470589,0.7246376811594203,0.7299270072992701,21.499656677246094,"Ripe, Unripe, Reject"
ResNet50,KNN,n_neighbors: 5,0.6815561959654178,0.6108949416342413,0.7584541062801933,0.6767241379310346,5.5769994258880615,"Ripe, Unripe, Reject"
InceptionV3,SVC,kernel: rbf,0.9221902017291066,0.8894230769230769,0.893719806763285,0.8915662650602408,99.62001442909241,"Ripe, Unripe, Reject"
InceptionV3,SVC,kernel: linear,0.930835734870317,0.892018779342723,0.9178743961352657,0.9047619047619047,35.577913999557495,"Ripe, Unripe, Reject"
InceptionV3,Decision Tree,max_depth: None,0.7694524495677233,0.7168949771689498,0.7584541062801933,0.7370892018779343,60.63494896888733,"Ripe, Unripe, Reject"
InceptionV3,Decision Tree,max_depth: 5,0.7795389048991355,0.7571428571428571,0.7681159420289855,0.762589928057554,22.898724794387817,"Ripe, Unripe, Reject"
InceptionV3,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.9121037463976945,0.8984771573604061,0.855072463768116,0.8762376237623762,27.380478382110596,"Ripe, Unripe, Reject"
InceptionV3,KNN,n_neighbors: 5,0.8659942363112392,0.8034188034188035,0.9082125603864735,0.8526077097505669,2.129868984222412,"Ripe, Unripe, Reject"
MobileNetV2,SVC,kernel: rbf,0.9279538904899135,0.9378238341968912,0.8743961352657005,0.9049999999999999,150.81815719604492,"Ripe, Unripe, Reject"
MobileNetV2,SVC,kernel: linear,0.952449567723343,0.9455445544554455,0.9227053140096618,0.9339853300733495,46.043370723724365,"Ripe, Unripe, Reject"
MobileNetV2,Decision Tree,max_depth: None,0.776657060518732,0.6977777777777778,0.7584541062801933,0.726851851851852,37.67536211013794,"Ripe, Unripe, Reject"
MobileNetV2,Decision Tree,max_depth: 5,0.8069164265129684,0.8342857142857143,0.7053140096618358,0.7643979057591622,14.306734323501587,"Ripe, Unripe, Reject"
MobileNetV2,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.8976945244956772,0.9213483146067416,0.7922705314009661,0.8519480519480519,11.975922584533691,"Ripe, Unripe, Reject"
MobileNetV2,KNN,n_neighbors: 5,0.8342939481268011,0.7807017543859649,0.8599033816425121,0.8183908045977012,3.505686044692993,"Ripe, Unripe, Reject"
DenseNet121,SVC,kernel: rbf,0.9596541786743515,0.9473684210526315,0.9565217391304348,0.9519230769230769,92.85714936256409,"Ripe, Unripe, Reject"
DenseNet121,SVC,kernel: linear,0.9668587896253602,0.9569377990430622,0.966183574879227,0.9615384615384616,30.0842604637146,"Ripe, Unripe, Reject"
DenseNet121,Decision Tree,max_depth: None,0.8256484149855908,0.7772727272727272,0.8260869565217391,0.8009367681498829,59.96101641654968,"Ripe, Unripe, Reject"
DenseNet121,Decision Tree,max_depth: 5,0.8285302593659942,0.7884615384615384,0.7922705314009661,0.7903614457831325,22.193050861358643,"Ripe, Unripe, Reject"
DenseNet121,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.9135446685878963,0.9202127659574468,0.8357487922705314,0.8759493670886077,25.39719319343567,"Ripe, Unripe, Reject"
DenseNet121,KNN,n_neighbors: 5,0.8789625360230547,0.8311688311688312,0.927536231884058,0.8767123287671235,1.8976666927337646,"Ripe, Unripe, Reject"
EfficientNetB0,SVC,kernel: rbf,0.8141210374639769,0.7953488372093023,0.8260869565217391,0.8104265402843602,150.21835494041443,"Ripe, Unripe, Reject"
EfficientNetB0,SVC,kernel: linear,0.8746397694524496,0.8744186046511628,0.9082125603864735,0.8909952606635071,41.660075426101685,"Ripe, Unripe, Reject"
EfficientNetB0,Decision Tree,max_depth: None,0.7247838616714697,0.6877828054298643,0.7342995169082126,0.7102803738317759,123.4117431640625,"Ripe, Unripe, Reject"
EfficientNetB0,Decision Tree,max_depth: 5,0.7190201729106628,0.7513812154696132,0.6570048309178744,0.7010309278350515,48.35670328140259,"Ripe, Unripe, Reject"
EfficientNetB0,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.8054755043227666,0.7990430622009569,0.8067632850241546,0.8028846153846154,36.487528562545776,"Ripe, Unripe, Reject"
EfficientNetB0,KNN,n_neighbors: 5,0.7593659942363112,0.7375565610859729,0.7874396135265701,0.7616822429906542,3.5145370960235596,"Ripe, Unripe, Reject"
